leadid,election_date,reelected,iso3,leader,entry_date,exit_date,entry_year,exit_year,spell_yrs,gold,silver,bronze,medal_score,cname,atop_number,bci_bci,bmr_demdur,cai_cai2,cbi_cbiw,cbie_index,ccp_cc,ccp_childwrk,ccp_equal,ccp_freerel,ccp_slave,ccp_strike,ciri_assn,ciri_dommov,ciri_formov,ciri_injud,ciri_physint,ciri_polpris,ciri_speech,ciri_tort,ef_ef,fh_cl,fh_pr,gol_enep,gol_est,gol_pr,h_j,ht_region,p_durable,p_polity2,pwt_hci,rd_inw,ross_gas_value_2014,ross_oil_value_2014,top_top10_income_share,undp_hdi,van_index,vdem_corr,vdem_gender,vdem_libdem,vdem_polyarchy,wdi_acel,wdi_agedr,wdi_ane,wdi_araland,wdi_area,wdi_birth,wdi_co2,wdi_death,wdi_elerenew,wdi_empagr,wdi_empind,wdi_empser,wdi_eneimp,wdi_expedu,wdi_expmil,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_forest,wdi_fossil,wdi_gdpagr,wdi_gdpcapcon2015,wdi_gdpind,wdi_gerp,wdi_internet,wdi_lfpf,wdi_lifexp,wdi_pop,wdi_pop14,wdi_pop65,wdi_popden,wdi_popurb,wdi_refori,wdi_trade,wdi_unempilo
8216ef38-1e42-11e4-b4cd-db5882bf8def,2006-10-01,0,AUT,Schussel,2000-02-05,2007-01-11,2000,2007,6.93223819301848,16,16,18,114,Austria,2,18.908767,61,1,0.857,0.929,2,2,1,2,98,3,2,2,2,2,7,2,1,1,6.53752682973786,1,1,3.71,2,12,1,5,60,10,3.2155108,2517171820.75859,516029069.31833,467827136.424652,0.3748,0.893,35.1,0.089,0.934,0.79,0.865,100,47.99108900683985,9.91004216776768,16.689287445467766,82520,9.4,9.39945270329187,9,65.5155251581415,5.24447601663644,28.161403629699,66.5941460732272,70.201671494066,5.22652006149292,0.785813244459197,3.122533350046896,4.784062402208457,1.41,46.69384391662628,74.69833424034242,1.303189458617389,42496.35105168305,27.259370830407757,102.310897827148,63.6,45.84500346360295,79.88048780487806,8268641,15.7715384577704,16.656826238438,100.201660203587,58.532,30,98.08831120534364,5.32
8232f98b-1e42-11e4-b4cd-db5882bf8def,2005-08-26,0,BDI,Ndayizeye,2003-04-30,2005-08-26,2003,2005,2.324435318275154,0,0,0,0,Burundi,3,68.913749,1,0.23,0.532,0.5295,2,2,1,1,1,1,1,0,1,0,3,0,0,0,0.904111971360451,5,3,2.5024627361402,2,25,1,4,0,6,1.2513356,71562.1616149131,0,0,0.4581,0.342,18.6,0.845,0.663,0.15,0.299,3.2,92.31682609619077,0.6898849204712305,37.22741433021807,25680,46.03,0.0250105767130417,12.841,98.0449657869013,90.5524569517153,2.50135574170143,6.94618730658331,43.314645238693906,3.632159948349,4.43619004108442,0.052340421321761,0.14595174066455335,6.708,7.552180685358256,56.65302916965624,40.84812339229493,294.7387733866606,16.933003598610878,86.9328231811523,0.542143,51.27783032942476,53.023,7388874,45.6149377012697,2.38753547647886,287.728738317757,9.375,438695,35.09999884129365,3.15
82511d04-1e42-11e4-b4cd-db5882bf8def,2014-10-11,0,BEL,Di Rupo,2011-12-06,2014-10-11,2011,2014,2.847364818617385,0,1,2,4,Belgium,3,16.185852,121,1,0.857,0.912,2,2,1,1,98,3,2,2,2,2,8,2,1,2,7.489392344618,1,1,9.447867,2,25,1,5,70,8,3.117666,12161003266.0421,0,0,0.318,0.922,47.719,0.031,0.947,0.842,0.903,100,53.85912099656389,18.589631022201537,26.981505944517835,30280,11.2,8.695512923165614,9.3,17.0806411009482,1.21816556033436,21.3930693328736,77.3887651067921,76.25886030281166,6.59046983718872,0.970959791148112,-2.840147495087677,-0.078116929933105,1.74,22.76796565389696,72.65250483564859,0.637835968092569,40421.4207919096,19.674826484051124,103.104873657227,85.0012,46.06531609427415,81.28780487804877,11209057,16.9897607733501,18.0157189186848,370.1802179656539,97.833,76,158.78321591907562,8.523
82511d02-1e42-11e4-b4cd-db5882bf8def,2011-12-06,0,BEL,Leterme,2009-11-25,2011-12-06,2009,2011,2.028747433264887,0,0,0,0,Belgium,4,17.961253,118,1,0.857,0.912,2,2,1,1,98,3,2,2,2,2,8,2,1,2,7.84628893234497,1,1,10.04,2,25,1,5,67,8,3.0989954,11728548904.613,0,0,0.3105,0.914,43.4,0.031,0.944,0.835,0.898,100,52.25903666392126,23.24318162871486,27.24570673712021,30280,11.7,9.44386726028658,9.4,9.41087918754353,1.3005247930685,23.2336846489351,75.4657683096893,71.38626298760387,6.43199014663696,1.05221776971326,31.26598334890303,24.67006824991876,1.81,22.779260237780715,70.25449592628259,0.648034219951815,39929.09514393591,20.777896404958085,101.269889831543,81.61,45.42089247413252,80.58536585365854,11038264,16.9536067500674,17.3688456076802,364.5397622192867,97.698,88,161.49372366463297,7.14
820aeacf-1e42-11e4-b4cd-db5882bf8def,2003-05-18,1,BEL,Verhofstadt,1999-07-12,2008-03-20,1999,2008,8.68993839835729,0,2,3,7,Belgium,4,21.405951,110,1,0.857,0.929,2,2,1,1,98,3,2,2,2,2,8,2,1,2,8.41694524418121,1,1,8.84,2,25,1,5,59,10,3.0303595,5778136096.27102,0,0,0.3154,0.893,44.2,0.031,0.94,0.824,0.886,100,52.47776125074834,21.453005432336223,27.575957727873185,30280,11,11.889940115455342,10.3,1.42650279436579,1.72110023385995,24.9192754931024,73.3596242730377,76.3854081453545,5.89130210876465,1.21498815616525,10.864874487751838,12.281732943430852,1.67,22.261261558784675,75.23284587397795,1.0294445025288033,36617.38038402271,23.22665488858116,103.77693939209,49.97,43.10862803123193,78.12926829268292,10376133,17.3742679739935,17.0424022454878,342.672820343461,97.296,40,132.71555283388844,7.68
820aeacf-1e42-11e4-b4cd-db5882bf8def,2007-06-10,0,BEL,Verhofstadt,1999-07-12,2008-03-20,1999,2008,8.68993839835729,1,2,5,13,Belgium,4,19.75638,114,1,0.857,0.929,2,2,1,1,98,3,2,2,2,2,8,2,1,2,8.35211279027495,1,1,9.04,2,25,1,5,63,8,3.0783648,8991846090.58459,0,0,0.3312,0.907,44.9,0.031,0.94,0.832,0.892,100,51.51394164395414,22.39314979094136,27.70805812417437,30280,11.7,10.631506630151426,9.5,3.98272552783109,1.8563215168559,24.4302468637766,73.7134544108604,74.38493063795727,5.51823377609253,1.09801876439276,20.502674006232755,17.722256045095513,1.82,22.559412153236455,72.66654993028439,0.8875239400393867,40290.22775639559,22.281952477002864,102.451301574707,66.7604,44.69517285831379,79.7829268292683,10625700,16.9549601868234,17.0445159574426,350.91479524438574,97.505,53,152.46844687530285,7.459
365240e8-3bbd-11e5-afeb-eb6f07f9fec7,2001-07-15,0,BGD,Hasina Wazed,1996-06-23,2001-07-15,1996,2001,5.059548254620124,0,0,0,0,Bangladesh,4,64.989768,11,0.01,0.328,0.481,2,2,1,1,1,3,0,2,1,1,4,1,1,0,0.459293276215999,4,3,2.83,1,1,0,8,10,6,1.6619096,2104551469.14176,1944392049.21997,40324728.3685067,0.4459,0.498,17.3,0.802,0.618,0.267,0.503,35,68.50638825884258,0.344167906878256,63.78581854497965,130170,28.49,0.2436468601421713,6.75,5.70952161913524,58.0577753633735,11.0677936049598,30.8744353191137,18.820144540340795,2.17193007469177,1.28842277551655,0.1454439045699244,0.0381543024058049,3.146,14.727890450948758,60.72303709922142,21.848340581525864,666.300049997793,22.58381187422126,94.2771072387695,0.129808,23.71092175100937,66.135,131670484,36.8215146076322,3.8335542990789,1011.5271107013904,24.096,5544,32.09801707301166,3.614
821f53db-1e42-11e4-b4cd-db5882bf8def,2001-07-21,0,BGR,Kostov,1997-05-21,2001-07-21,1997,2001,4.167008898015058,6,6,2,38,Bulgaria,27,56.83714,12,1,0.857,0.725,2,2,1,1,1,1,1,2,2,1,5,2,1,0,3.46869310330254,3,1,3.91,2,25,1,1,9,9,2.9194586,826200309.55945,755103.70843494,7192282.11091083,0.3622,0.732,27.6,0.384,0.921,0.602,0.698,88.6,47.573074923192976,26.786383087216915,31.338696556087857,110630,8.5,6.269398145269493,14,3.98998483943584,9.69357826709979,32.7673723902879,57.5390493426123,46.58430532006188,3.38423991203308,2.86251954387639,5.731626859211392,0.0681120556990967,1.21,30.834312573443007,73.1454631425634,10.603253242166442,3941.2756908212864,23.980881725726867,105.339256286621,7.6123,47.27297066581665,71.76829268292684,8009142,15.2088825935435,17.0280803257256,72.39575160444726,69.166,2122,79.08136874776677,19.921
821f53dc-1e42-11e4-b4cd-db5882bf8def,2005-08-16,0,BGR,Saksgoburggotski,2001-07-24,2005-08-16,2001,2005,4.0629705681040384,2,2,11,23,Bulgaria,27,55.758825,16,1,0.857,0.8195,2,2,1,1,1,1,1,2,2,1,6,2,1,1,3.73300130156011,2,1,5.8,2,25,1,1,13,9,2.9909837,1612912427.00584,0,24124588.0008765,0.3611,0.765,32.3,0.384,0.927,0.609,0.7,90.6,45.71662151572096,25.7649654368697,29.20655375552283,108640,9.3,6.834624803433151,14.8,9.87446556899845,8.93877765118014,34.2419147935972,56.8193075552227,46.48048214187172,4.10879993438721,2.2353502672636703,13.720479005991152,0.3124910361830909,1.37,32.7319587628866,72.96125477667375,7.283685728894337,5236.086372343693,24.23239858400876,110.920433044434,19.97,46.6806362017486,72.5609756097561,7658972,13.7393674638652,17.6342858612517,70.49863770250369,70.584,4250,99.71421121273814,10.083
825272da-1e42-11e4-b4cd-db5882bf8def,2009-07-27,0,BGR,Stanishev,2005-08-16,2009-07-27,2005,2009,3.9452429842573578,1,2,3,11,Bulgaria,28,54.389668,20,1,0.857,0.8195,2,2,1,1,1,1,1,2,2,1,6,2,1,1,3.48374565191821,2,2,4.4,3,1,0,1,17,9,3.0642612,1591794627.63678,1534394.78917974,24841526.225958,0.3546,0.784,33.4,0.501,0.922,0.596,0.697,92.9,46.63834269925742,24.218377824522893,28.97936624907885,108560,10.9,6.24041315112494,14.5,8.77279913168637,7.08889427635879,35.2371424450452,57.6739325904762,43.787234898149634,4.27429008483887,1.73951150062383,7.490157326134797,0.6943877831878925,1.66,34.08990420044215,73.0238178824845,4.235785659661227,6294.433391634013,26.567340514432168,102.061912536621,45,46.70055986535783,73.41219512195123,7444443,13.6080811181998,18.1969303324261,68.57445652173914,71.963,2743,92.69264560363747,6.817
