leadid,election_date,reelected,iso3,leader,entry_date,exit_date,entry_year,exit_year,spell_yrs,gold,silver,bronze,medal_score,gold_lag1,silver_lag1,bronze_lag1,medal_score_lag1,gold_lag2,silver_lag2,bronze_lag2,medal_score_lag2,cname,atop_number,bci_bci,bmr_demdur,cai_cai2,cbi_cbiw,cbie_index,ccp_cc,ccp_childwrk,ccp_equal,ccp_freerel,ccp_slave,ccp_strike,ciri_assn,ciri_dommov,ciri_formov,ciri_injud,ciri_physint,ciri_polpris,ciri_speech,ciri_tort,ef_ef,fh_cl,fh_pr,gol_enep,gol_est,gol_pr,h_j,ht_region,p_durable,p_polity2,pwt_hci,rd_inw,ross_gas_value_2014,ross_oil_value_2014,top_top10_income_share,undp_hdi,van_index,vdem_corr,vdem_gender,vdem_libdem,vdem_polyarchy,wdi_acel,wdi_agedr,wdi_ane,wdi_araland,wdi_area,wdi_birth,wdi_co2,wdi_death,wdi_elerenew,wdi_empagr,wdi_empind,wdi_empser,wdi_eneimp,wdi_expedu,wdi_expmil,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_forest,wdi_fossil,wdi_gdpagr,wdi_gdpcapcon2015,wdi_gdpind,wdi_gerp,wdi_internet,wdi_lfpf,wdi_lifexp,wdi_pop,wdi_pop14,wdi_pop65,wdi_popden,wdi_popurb,wdi_refori,wdi_trade,wdi_unempilo
824e715e-1e42-11e4-b4cd-db5882bf8def,2004-10-09,1,AUS,Howard,1996-03-11,2007-12-03,1996,2007,11.728952772073923,17,16,17,117,2,0,0,8,16,25,17,131,Australia,3,9.479927,104,1,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,8.80285238156583,1,1,3.17,1,5,1,5,103,10,3.4943507,824729101.175224,11112197911.8414,7631611220.5721,0.3329,0.908,33.9,0.034,0.93,0.84,0.88,100,48.66810302359174,1.1797493320610009,3.350949585410619,7682300,12.3,19.147721018734924,6.5,8.1866501908305,3.73788984710175,21.9709477452854,74.2911519660256,-125.59655312946192,5.19307231903076,1.82741076940486,6.980716853343118,1.5919447907958642,1.768,17.040066126029966,94.06821267120928,3.061605922538072,49901.01529578256,23.93491874100932,103.302062988281,41.49448266,44.556100092558346,80.49024390243903,19932722,19.9476177130945,12.788458411359,2.5946294729443005,84.463,11,37.00961359304424,5.399
824e715e-1e42-11e4-b4cd-db5882bf8def,2007-11-24,0,AUS,Howard,1996-03-11,2007-12-03,1996,2007,11.728952772073923,1,0,1,5,17,16,17,117,2,0,0,8,Australia,5,8.60513,107,1,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,8.08149723806276,1,1,3.03,1,5,1,5,106,10,3.4615014,1341851616.34835,12462106854.7875,14032855946.2167,0.3414,0.916,28.2,0.034,0.932,0.84,0.88,100,48.24343853579403,1.1690255962543925,3.010166226260365,7682300,14.1,19.224057359980893,6.7,8.64807246716794,3.32081335302302,21.9081050202671,74.7710816267099,-134.1001662314179,4.96966886520386,1.81227323422698,5.197717936876336,1.6866264502348185,1.959,16.95149890006899,94.293103951311,2.2060140143963904,52530.70189301245,25.66594093972304,105.422981262207,69.45,45.15637904918525,81.29268292682927,20827622,19.4336490128957,13.1097405249566,2.71111802454994,84.822,57,42.00802003263476,4.381
824e4086-1e42-11e4-b4cd-db5882bf8def,1996-03-11,0,AUS,Keating,1991-12-19,1996-03-11,1991,1996,4.227241615331964,9,9,23,77,0,0,1,1,0,0,0,0,Australia,4,12.837048,96,0.79,0.347,0.391,2,2,1,1,98,3,2,2,2,2,7,2,2,1,7.89758143981081,1,1,3.19,1,5,1,5,95,10,3.4870493,517894423.709037,3566405038.59482,6080449535.80135,0.3094,0.884,36.6,0.034,0.918,0.85,0.889,100,50.113008329504616,1.2290255979902365,2.498340340783359,7682300,13.9,17.14015877404633,7,9.22972782400226,4.84372039271434,22.968747202609,72.1875324046766,-92.13294241992516,5.50121021270752,1.93044006740518,1.137173234782774,1.2474142000926547,1.796,17.265837054007264,93.64822076296562,3.3788369450761766,40336.299145871846,25.957853862891778,101.932456970215,3.27524987,42.91009520641569,78.07804878048782,18224767,21.3775259624292,12.0059963170674,2.372306080210353,84.767,25.5,38.23305335473346,8.509
824e4082-1e42-11e4-b4cd-db5882bf8def,1972-12-05,0,AUS,McMahon,1971-03-10,1972-12-05,1971,1972,1.7412731006160165,0,0,0,0,0,0,0,0,0,0,0,0,Australia,3,14.71343,72,1,0.347,0.391,2,2,1,1,98,3,2,2,2,2,7,2,2,1,7.43320917642389,1,1,2.77,1,5,1,5,71,10,3.0158162,228958923.3,499181734.339522,1656629584.82058,0.2674,0.884,25.3,0.045,0.747,0.814,0.867,100,58.52020540138021,1.8718114980777256,2.218996914986397,7682300,20.1,12.746626698034452,8.3,19.257558098599752,3.43405582302153,23.2501811631813,72.6483618220342,-17.40751329733965,5.50121021270752,2.68562060485785,2.0253587489294453,0.2474420189947695,2.744,29.638114690346885,91.30558851050576,2.15159942379354,27519.722675650133,25.220032578308192,110.875770568848,41.49448266,45.38365101942094,71.45756097560977,13177000,28.4501220404023,8.46643519584527,1.7152415292295276,84.32,25.5,24.758120636630977,5.965
8255e1cb-1e42-11e4-b4cd-db5882bf8def,2013-09-18,0,AUS,Rudd,2013-06-27,2013-09-18,2013,2013,0.2272416153319644,8,15,12,74,2,1,0,10,14,15,17,103,Australia,5,8.558689,113,1,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,6.98815610522221,1,1,3.00836,1,5,1,5,112,10,3.4687328,2461137536.76136,8301883828.2947,13623486068.1443,0.3482,0.929,41.0922,0.037,0.931,0.818,0.86,100,49.984637166048046,2.138830763347635,4.063991252619658,7682300,13.3,17.53120626402594,6.4,13.2641083883167,2.61818786659868,20.4516291121862,76.9301917296687,-172.43834034344908,5.5196270942688,1.6391801995446105,3.4535367686306917,-0.0487988797369922,1.855,17.14006742772347,93.70804882449004,2.2852850020651143,55734.5743411489,25.18698229855377,105.802581787109,83.4535,45.74610646516879,82.14878048780488,23128129,18.9256202512991,14.4008825109393,3.010573526157531,85.502,27,41.25019106374537,5.663
82168d8f-1e42-11e4-b4cd-db5882bf8def,1970-03-03,0,AUT,Klaus,1964-04-02,1970-03-03,1964,1970,5.916495550992471,0,0,0,0,0,0,0,0,0,0,0,0,Austria,3,14.71343,25,1,0.652,0.712,2,2,1,2,98,3,2,2,2,2,7,2,2,1,4.63701713700057,1,1,2.29,2,15,1,5,24,10,2.6166139,16576923.37,266392766.383356,224955718.560968,0.3282,0.884,32.4,0.055,0.664,0.713,0.832,100,62.40244981937367,9.877840611579463,19.219583131362093,82520,15,7.05281819440676,13.2,19.257558098599752,3.43405582302153,23.2501811631813,72.6483618220342,55.955582391587775,4.14716005325317,1.38013012131531,0.732777982692639,0.0562674616093326,2.29,29.638114690346885,88.99204257987063,2.15159942379354,18101.99194773224,25.220032578308192,102.011859893799,41.49448266,45.38365101942094,69.91463414634147,7467086,24.3697557787526,14.054812662933,90.48819680077555,65.258,25.5,54.86039078201226,5.965
8216ef37-1e42-11e4-b4cd-db5882bf8def,2000-02-04,0,AUT,Klima,1997-01-28,2000-02-04,1997,2000,3.0171115674195756,2,1,0,10,3,5,9,31,0,1,2,4,Austria,2,20.713776,55,1,0.857,0.929,2,2,1,2,98,3,1,2,2,2,5,2,1,0,5.90026555773448,1,1,3.82,2,12,1,5,54,10,3.1170292,1804517334,344193765.525911,276813759.885002,0.3491,0.87,37.7,0.086,0.928,0.787,0.86,100,48.059013184472846,11.25575227754226,16.95346582646631,82520,9.8,8.332827814187638,9.6,72.5440090857467,6.05078317146185,30.0245893328607,63.9246274956774,65.75385172678044,5.58880996704102,0.98031858008593,4.308900394190173,2.792589613669845,1.36,46.51163354338343,76.53529223461383,1.6473002129897931,38842.89051958305,28.284802034095595,101.86939239502,33.7301,43.948510943667024,78.1268292682927,8011566,17.046335286558,15.413033147977,97.0863548230732,60.213,33,85.3604956179232,4.694
8216ef38-1e42-11e4-b4cd-db5882bf8def,2002-11-24,1,AUT,Schussel,2000-02-05,2007-01-11,2000,2007,6.93223819301848,3,4,10,30,2,1,0,10,3,5,9,31,Austria,2,20.201284,57,1,0.857,0.929,2,2,1,2,98,3,1,2,2,2,7,2,1,1,5.83773895335008,1,1,3.02,2,12,1,5,56,10,3.1495168,1985329834,328925443.291751,223344442.844548,0.3483,0.878,33.9,0.098,0.935,0.787,0.86,100,47.16863663429619,10.510055569634575,16.78380998545807,82520,9.7,9.028258873438698,9.4,69.0129476493263,5.75868767194551,28.8522342298336,65.389078098220807,67.71055328606258,5.52213001251221,0.8835278365730901,0.0645287977951281,2.696162435995293,1.39,46.57237033446437,77.31087416751208,1.5627744114919595,39636.48261145213,27.38807848202851,102.810722351074,36.56,44.68806148693254,78.67804878048783,8081957,16.6177352323161,15.433002037878,97.93937227338829,59.655,72,86.94816799966057,4.86
8216ef38-1e42-11e4-b4cd-db5882bf8def,2006-10-01,0,AUT,Schussel,2000-02-05,2007-01-11,2000,2007,6.93223819301848,9,7,7,57,2,4,1,17,3,4,10,30,Austria,2,18.908767,61,1,0.857,0.929,2,2,1,2,98,3,2,2,2,2,7,2,1,1,6.53752682973786,1,1,3.71,2,12,1,5,60,10,3.2155108,2517171820.75859,516029069.31833,467827136.424652,0.3748,0.893,35.1,0.089,0.934,0.79,0.865,100,47.99108900683985,9.91004216776768,16.689287445467766,82520,9.4,9.39945270329187,9,65.5155251581415,5.24447601663644,28.161403629699,66.5941460732272,70.201671494066,5.22652006149292,0.785813244459197,3.122533350046896,4.784062402208457,1.41,46.69384391662628,74.69833424034242,1.303189458617389,42496.35105168305,27.259370830407757,102.310897827148,63.6,45.84500346360295,79.88048780487806,8268641,15.7715384577704,16.656826238438,100.201660203587,58.532,30,98.08831120534364,5.32
8216ef36-1e42-11e4-b4cd-db5882bf8def,1990-10-07,1,AUT,Vranitzky,1986-06-16,1997-01-28,1986,1997,10.620123203285422,0,0,0,0,0,0,0,0,0,0,0,0,Austria,1,25.031394,45,1,0.614,0.712,2,2,1,2,98,3,1,2,2,2,7,2,2,1,5.2282773886174,1,1,3.17,2,12,1,5,44,10,2.9651499,634832336.4,203853662.481751,361937812.931199,0.3404,0.823,35.6,0.077,0.895,0.783,0.86,100,48.07348352857635,9.58581546257281,17.28065923412506,82520,11.8,8.020800093776252,10.8,66.2021259331386,3.43405582302153,23.2501811631813,72.6483618220342,67.29646302266313,4.95725011825562,1.19566026670559,0.3922784553333752,1.0218463285177202,1.46,45.75460494425593,79.1323454283578,3.0971198738227224,31340.681292716505,29.56086330327697,98.6800689697266,0.130369377,45.38365101942094,75.56829268292685,7677850,17.5231734314364,14.9427919646598,93.04229277750848,62.96,25.5,71.48836947171058,5.965
